88:36:6c:1d:ae:8c,81,2020-12-08 00:13:13.984387,신관,751D
88:36:6c:1d:a7:e4,33,2020-12-08 00:13:13.984387,신관,751D
88:36:6c:1d:be:c0,31,2020-12-08 00:13:13.984387,신관,751D
88:36:6c:1d:c2:c8,31,2020-12-08 00:13:13.984387,신관,751D
88:36:6c:1d:d7:6e,75,2020-12-08 00:13:13.984387,신관,751D
88:36:6c:1d:a5:14,31,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:db:e0,78,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:ae:8c,81,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:a7:e4,33,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:be:c0,31,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:c2:c8,31,2020-12-08 00:13:15.645678,신관,751D
88:36:6c:1d:d7:6e,75,2020-12-08 00:13:15.645678,신관,751D
